geohome,geowork,likeIrpin,likeVishneve,likeBucha,likeVorzel,likeKocubinske,likeBoyarka,likeBrovary,likeBoryspil,likeVyshgorod,liveSuburb,liveOkolica,isGoodWorkLocation,age,isRented,job,liveHouse,isInvestor,isActivist,isFreeAppartmentImportant,city,isSuburb,region,workLat,workLong,homeLat,homeLong,distance
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,Ваш вік,-10,-1,-10,-10,-10,-10,,,,,,,,
,,-2,-10,-10,-10,-10,-10,-10,-10,-10,2,-1,1,35,2,0,2,2,2,2,,0,kyiv,50.4456,30.5222,50.4543,30.4955,2.1
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,,-10,,-10,-10,-10,-10,,0,kyiv,50.4376,30.5205,50.4539,30.4974,2.4
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,1,1,2,37,2,0,1,-1,-10,-1,,1,kyiv,50.5395,30.2600,50.5395,30.2600,0
,,-2,-2,1,1,1,-2,-2,-2,1,1,1,-1,34,-2,0,-2,1,1,-2,,0,kyiv,50.4313,30.4875,50.5264,30.4636,10.7
,,2,-10,1,-2,1,-10,1,1,1,2,2,1,28,2,0,2,2,2,2,,0,kyiv,50.4108,30.5713,50.4543,30.5077,6.6
,,2,-10,-10,-10,-10,2,-10,-10,-10,2,2,-2,33,2,0,2,2,1,1,,0,kyiv,50.4819,30.4852,50.3987,30.5200,9.6
,,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-10,2,24,-2,0,2,-1,-1,-2,,1,kyiv,50.4171,30.5173,50.4419,30.2882,16.5
,,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-1,28,-2,0,-10,-10,-2,-2,,0,kyiv,50.4248,30.5065,50.4343,30.6203,8.2
,,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,2,27,-2,0,2,-2,-2,-2,,,,,,,,
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,1,1,-10,27,2,0,1,1,1,1,,0,lviv,49.8328,23.9991,49.7966,24.0282,4.5
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,1,1,25,2,3,-10,-2,-2,-2,,0,lviv,49.8019,24.0106,49.8272,24.0462,3.8
,,1,1,-10,-10,-10,-10,-10,-10,-2,-2,-2,1,32,2,1,1,-2,-1,-1,,,,,,,,
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,2,1,2,27,2,0,1,-10,-10,2,,0,lviv,49.8327,23.9981,49.8283,24.0221,1.8
,,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,2,2,27,2,0,2,-2,-2,2,,0,kyiv,50.4003,30.5055,50.3866,30.4811,2.3
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,2,2,-1,29,2,0,2,2,2,2,,0,lviv,49.8506,23.9916,49.8480,24.0010,0.7
,,1,2,1,-10,1,1,-2,-2,-2,2,2,2,39,-2,3,2,2,2,1,,1,kyiv,50.3912,30.4108,50.3833,30.3779,2.5
,,-2,-10,-2,1,1,-2,-2,-2,-10,2,2,-2,25,-2,0,2,-1,1,1,,1,kyiv,50.4482,30.5909,50.5791,30.0090,43.8
,,-10,-10,-10,-10,-10,-10,-10,-10,1,1,2,1,26,2,0,1,-10,-10,1,,,,,,,,
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,2,1,2,33,2,0,2,1,-1,2,,0,dnipro,48.4673,35.0546,48.4508,35.0415,2.1
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,-2,-2,2,21,-2,0,-1,-10,-2,-2,,0,,48.2954,25.9281,48.2924,25.9385,0.8
,,2,-2,2,1,1,-10,-2,-2,1,2,-1,-1,40,2,0,1,-1,-1,2,,,,,,,,
,,-10,-10,1,-10,-10,-10,-10,-10,-10,2,2,2,26,2,0,2,1,2,2,,,,,,,,
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,-1,-2,2,31,2,0,1,1,2,-2,,0,dnipro,48.4606,35.0584,48.4399,35.0182,3.8
,,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,27,2,0,-1,-2,-2,-2,,0,kyiv,50.4514,30.5126,50.4541,30.5928,5.7
,,1,1,-2,-2,2,-2,-2,-2,-2,2,-2,1,24,-2,2,2,-2,1,-1,,0,kyiv,50.4456,30.5176,50.3991,30.6170,8.8
,,2,-2,1,1,1,-2,1,-2,1,2,2,-1,27,2,2,-10,1,2,2,,0,kyiv,50.4689,30.5164,50.5092,30.4208,8.1
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,-1,2,2,24,2,0,2,-2,-1,1,,0,dnipro,48.4213,35.1221,48.4022,35.0312,7.1
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,1,-1,-1,32,2,0,2,-10,-10,1,,0,kyiv,50.4302,30.5983,50.4301,30.5403,4.1
,,1,-2,-2,1,1,-2,-2,-2,1,-1,1,2,28,2,0,2,1,-2,-1,,,,,,,,
,,1,-2,1,-10,-10,-10,-2,-2,-2,2,2,1,31,2,0,2,1,1,-2,,0,kyiv,50.4236,30.5044,50.4627,30.4318,6.7
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,-2,-2,1,28,2,2,2,-2,-2,-2,,,,,,,,
,,2,1,1,-2,1,-2,-2,-2,2,1,2,1,26,-2,0,2,-2,1,-2,,1,kyiv,50.3963,30.4777,50.5207,30.2377,22
,,1,1,1,1,1,1,1,1,1,1,1,2,26,1,0,2,1,1,2,,0,,48.5103,32.2647,48.5103,32.2647,0
,,1,-2,2,-10,-10,-10,-10,-10,2,2,2,2,34,2,0,-1,-1,-2,1,,,,,,,,
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,-1,-1,2,32,-2,1,1,-2,-1,-1,,0,dnipro,48.4614,35.0595,48.4614,35.0595,0
,,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,34,1,0,-2,-2,-2,-2,,0,lviv,49.8371,23.9838,49.8676,24.0237,4.4
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,2,2,-1,28,2,2,2,2,2,2,,0,lviv,49.8429,23.9982,49.8043,23.9985,4.3
,,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,28,-2,0,2,-2,-2,1,,0,kyiv,50.4621,30.4345,50.3841,30.4579,8.8
,,1,2,1,1,1,2,-10,-10,-10,2,2,-2,48,-2,0,2,-1,2,1,,1,kyiv,50.4466,30.4225,50.3949,30.3600,7.3
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,-1,2,2,25,-2,0,2,1,1,-1,,0,lviv,49.7767,24.0124,49.8473,24.0312,8
,,2,2,1,1,1,-2,-2,-2,1,2,2,-2,43,-2,0,2,-2,1,2,,1,kyiv,50.4474,30.5220,50.5145,30.2347,21.7
,,-2,2,2,-2,-2,-2,1,-2,2,-2,-1,2,25,2,0,1,-1,-1,-1,,0,odesa,46.4828,30.7357,46.4795,30.7235,1
,,-2,1,-2,-2,1,1,-2,1,-2,-2,2,-2,24,-2,0,2,2,2,-2,,,,,,,,
,,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,1,24,2,0,2,-10,1,-2,,0,kyiv,50.4350,30.4848,50.4329,30.5138,2.1
,,1,-2,1,1,1,-2,-2,1,-2,2,2,1,37,-2,0,2,-2,-2,-2,,0,,50.2481,28.6868,50.2608,28.7010,1.7
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,2,1,-1,27,-2,3,-2,-2,2,2,,1,kyiv,50.4719,30.4666,50.2849,31.7665,94.8
,,1,-2,1,1,-2,-2,-2,-2,2,-2,-1,1,25,2,0,2,1,1,-2,,,,,,,,
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,1,1,2,20,-2,0,1,-2,-1,-10,,0,lviv,49.8380,24.0087,49.8071,23.9892,3.7
,,-2,1,-10,-10,1,-10,1,2,1,2,2,1,25,-2,2,2,-2,-2,2,,0,kyiv,50.4077,30.5124,50.4347,30.6065,7.3
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,-2,2,-1,27,-2,2,-2,-2,-2,-2,,0,lviv,49.8612,24.0506,49.8171,23.9862,6.7
,,-2,-2,-2,-2,-2,-2,1,1,2,1,-2,2,26,-10,0,2,-2,-2,1,,0,kyiv,50.4405,30.5200,50.4903,30.4747,6.4
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,2,-10,-1,26,2,0,2,1,-1,1,,0,kyiv,50.4505,30.4684,50.4841,30.4520,3.9
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,-2,-2,2,26,2,0,-2,-1,-2,-1,,0,kyiv,,,50.5114,30.4981,
,,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,36,2,0,-2,-2,-2,-2,,,,50.4890,30.5221,,,
,,-2,2,-2,-2,-2,-2,-2,-2,-2,2,2,-1,34,2,0,2,2,2,2,,1,kyiv,50.4579,30.4898,50.4059,30.3250,13.1
,,-10,-10,-10,-10,-10,-10,-10,-2,-10,1,-1,1,26,2,0,2,2,2,1,,0,kyiv,50.4554,30.5161,50.4695,30.4450,5.3
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,2,2,1,54,-2,0,-2,-2,-2,2,,1,kyiv,50.4631,30.4522,50.5440,30.2193,18.8
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,-2,-2,2,36,2,3,1,1,1,2,,0,lviv,49.8322,23.9964,49.8248,24.0152,1.6
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,1,-2,2,21,2,0,2,1,1,2,,0,dnipro,48.4516,35.0702,48.4230,35.0283,4.4
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,2,-2,2,26,2,0,1,-10,1,1,,0,kyiv,50.4519,30.5112,50.4412,30.5017,1.4
,,1,-2,1,-10,1,1,-10,-10,-2,2,1,1,33,-2,0,2,-1,-1,1,,,,,,,,
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,2,-1,-2,29,2,2,2,-1,1,2,,0,lviv,49.8203,23.9999,49.8344,23.9976,1.6
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,-2,-1,2,28,-2,0,-2,2,-1,2,,0,kharkiv,50.0332,36.2174,50.0380,36.2148,0.6
,,-2,-2,-2,-2,1,-2,-2,-2,-2,-1,1,2,31,2,0,-10,-2,-1,2,,0,kyiv,50.4393,30.4964,50.4380,30.5001,0.3
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,1,1,1,24,2,0,2,-10,-10,1,,0,kyiv,50.4477,30.4240,50.4714,30.4153,2.7
,,2,2,2,2,2,2,2,2,2,2,2,-2,31,-2,0,2,2,2,2,,,,,,,,
,,-2,1,-2,-2,-2,-2,-2,2,-2,2,2,1,36,-2,0,2,2,2,1,,,,,,,,
,,-2,-2,-2,-2,-2,-2,1,-2,-2,2,2,-1,35,-2,2,2,-2,-2,-2,,,,,,,,
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,2,2,2,29,2,0,2,1,2,2,,0,lviv,49.8316,23.9967,49.8063,23.9897,2.9
,,-10,-10,-10,-10,1,-10,2,-10,1,2,1,1,30,-2,0,-1,1,1,1,,0,kyiv,50.4652,30.5120,50.3934,30.4989,8
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,1,2,1,24,-2,0,2,-1,-1,2,,1,lviv,49.8326,23.9962,49.7769,23.9043,9.1
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,1,-2,2,25,-2,0,2,-1,1,-1,,0,lviv,49.8329,23.9977,49.8366,24.0194,1.6
,,-10,1,-10,-10,1,-2,-2,-10,-10,2,2,-2,24,-2,0,2,-1,1,-2,,1,kyiv,50.4516,30.5180,50.3809,30.3820,12.5
,,1,-10,2,-10,-10,-10,-10,-10,-10,-1,-10,-2,28,-2,0,2,-2,-1,-2,,0,kyiv,50.4846,30.4850,50.3857,30.4582,11.2
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,1,-10,2,20,-2,0,1,1,1,1,,0,kyiv,50.4119,30.3896,50.4119,30.3896,0
,,-2,-2,2,2,-2,-2,1,-2,1,2,2,-2,28,-2,3,2,1,-1,2,,0,kyiv,50.4422,30.5327,50.4470,30.4342,7
,,1,1,-10,-10,-2,-2,-2,-2,-10,2,2,1,27,2,0,1,1,-1,-10,,0,kyiv,50.4476,30.4230,50.4645,30.4874,4.9
,,1,-10,-10,-10,-10,-10,-10,-10,-10,2,2,2,28,2,2,2,-10,1,1,,0,kyiv,50.4449,30.4507,50.4837,30.4541,4.3
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,2,2,2,41,2,0,1,-2,1,-2,,0,,59.3878,18.0478,59.3843,18.0416,0.5
,,2,1,1,-10,-10,-2,1,1,2,2,2,-2,26,-2,3,2,2,2,2,,0,kyiv,50.4571,30.5167,50.3912,30.6477,11.8
,,2,-10,1,-10,-10,-10,-2,-2,-10,1,1,-1,25,2,2,-1,-1,1,1,,0,kyiv,50.3934,30.4789,50.4251,30.5184,4.5
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,1,-1,-2,22,-2,1,1,-2,-10,-10,,0,kharkiv,50.0310,36.3428,50.0070,36.2135,9.6
,,-10,1,1,-10,1,-10,-10,-10,1,2,2,-2,28,-2,1,2,1,1,2,,0,kyiv,50.4310,30.4902,50.4102,30.6276,10
,,-2,-2,-2,-2,-2,-2,-10,-2,-2,2,-1,2,31,-1,0,2,1,1,2,,,,,,,,
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,1,2,-1,27,-2,0,2,-10,-1,-10,,0,,46.4688,30.7125,46.5911,30.7876,14.8
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,2,1,1,24,2,0,2,-2,-2,2,,0,kharkiv,50.002339,36.272136,50.025167,36.338735,5.4
,,1,2,1,-2,-2,-2,-2,-2,-2,2,2,-1,28,-2,0,2,2,2,2,,1,kyiv,50.4304,30.4874,50.4377,30.3494,9.8
,,1,1,1,1,1,1,2,2,2,-10,-1,1,30,2,0,2,1,1,1,,,,,,,,
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,1,-2,1,22,-2,0,2,1,1,-1,,0,lviv,49.8087,24.0180,49.8318,24.0391,3
,,1,1,1,1,1,1,1,-2,1,2,2,1,28,2,0,2,2,2,2,,0,kyiv,50.4300,30.5085,50.4358,30.4690,2.9
,,-2,-2,-2,-2,-2,-2,1,1,1,-1,1,1,20,-2,-1,2,-1,1,-2,,0,kyiv,50.4623,30.5998,50.4444,30.6175,2.4
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,-1,-2,2,28,2,3,-2,-2,1,-1,,0,kharkiv,50.0159,36.2264,50.0344,36.2208,2.1
,,2,-2,2,2,1,-10,1,-2,1,2,2,-1,31,2,2,1,1,1,2,,0,kyiv,50.4222,30.5061,50.3860,30.4677,4.9
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,-2,-2,2,25,2,0,-2,-1,-2,-2,,0,kyiv,50.4453,30.5990,50.4453,30.5990,0
,,1,2,1,-2,-2,1,-2,-2,1,1,-1,2,26,2,0,-1,-1,-2,-1,,,,,,,,
,,1,-10,-10,-10,-10,-10,-10,-10,1,1,1,2,24,2,0,2,2,1,-1,,0,kyiv,50.4528,30.4539,50.4508,30.4493,0.4
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,2,2,2,33,2,0,2,2,2,1,,0,lviv,49.8116,23.9918,49.8387,23.9701,3.4
,,2,2,1,1,1,1,2,1,2,1,1,1,30,2,2,1,1,2,2,,0,kyiv,50.5108,30.5001,50.5108,30.5001,0
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,-1,2,2,25,2,0,1,-1,2,2,,0,lviv,49.8201,24.0082,49.8133,24.0166,1
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,-1,1,2,26,2,0,1,-2,-1,1,,0,kyiv,50.4747,30.4380,50.4747,30.4380,0
,,2,1,1,-2,1,-2,1,1,2,1,1,2,30,2,0,2,1,1,2,,0,kyiv,50.4314,30.4876,50.4355,30.4622,1.9
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,-2,-1,-2,26,-2,0,2,-1,1,-1,,0,kharkiv,49.9755,36.2951,50.0141,36.3354,5.2
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,-2,-2,1,26,2,3,-2,-2,1,1,,0,kyiv,50.4505,30.4130,50.4650,30.4320,2.1
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,2,2,1,25,2,2,1,2,1,2,,0,kyiv,50.4416216,30.423246,50.4485905,30.5258137,7.3
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,2,2,2,38,2,0,2,-10,1,1,,,,48.5148,35.0071,,,
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,2,2,1,28,2,0,2,2,2,2,,0,dnipro,48.4576,35.0605,48.4739,35.0241,3.2
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,1,1,-1,25,-2,3,2,-10,1,-2,,0,lviv,49.8525,23.9880,49.8165,24.0017,4.1
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,2,-1,-2,26,2,0,2,2,1,1,,0,lviv,,,49.8155,24.0109,
,,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,26,2,3,-2,-2,-2,2,,0,kyiv,50.4513,30.5980,50.4349,30.5967,1.8
,,-2,-2,-2,1,-2,-2,-2,-2,-2,2,2,-2,27,2,2,-1,-1,2,2,,0,kyiv,50.4309,30.4869,50.4879,30.5807,9.2
,,-2,-2,2,1,-2,1,-2,-2,1,2,2,-1,22,-2,0,2,2,2,2,,1,kyiv,50.4669,30.5121,50.5427,30.1966,23.9
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,2,2,1,24,-2,3,2,-10,1,2,,,,49.8353,24.0323,,,
,,-10,-10,-10,-10,-10,-10,1,-10,-10,1,2,-2,23,2,0,2,1,1,2,,0,kyiv,50.4593,30.4897,50.5275,30.5984,10.8
,,2,1,2,2,1,-2,1,-2,1,2,2,2,34,-2,-1,1,-1,1,2,,1,kyiv,50.4444,30.5200,50.5143,30.2454,21
,,1,-2,-2,-2,-2,-2,-2,1,-2,2,2,2,31,-2,1,-10,-10,1,2,,1,kyiv,50.4590,30.4287,50.4401,30.3109,8.6
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,-2,-2,2,27,-2,2,1,-2,-2,-2,,0,kyiv,50.4308,30.4871,50.4550,30.5193,3.5
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,-1,2,2,31,2,3,-1,1,-1,2,,0,kyiv,50.4717,30.5159,50.4987,30.5113,3
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,2,2,2,31,2,0,2,1,-1,2,,1,kharkiv,50.1376,36.4145,50.1376,36.4145,0
,,-2,1,-2,-2,1,-2,-2,-2,-2,-1,-2,2,31,2,0,-1,-1,-2,-2,,,,,,,,
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,-2,-2,2,23,-2,3,1,-2,1,-1,,,,,,,,
,,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,28,2,0,2,2,2,-10,,0,,48.9181,24.7089,48.9181,24.7089,0
,,1,1,1,-10,-10,-2,-2,1,1,1,1,2,30,-2,3,1,-2,-2,-2,,0,kyiv,50.4733,30.4971,50.4023,30.5192,8.1
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,2,-1,2,23,2,0,-1,1,2,2,,0,kyiv,50.5163,30.5088,50.5163,30.5088,0
,,-10,1,1,-10,-10,-10,-10,1,1,2,2,1,26,-2,0,2,2,1,-1,,0,kyiv,50.4448,30.4510,50.4055,30.6405,14.2
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,1,1,1,32,-2,0,2,2,1,-1,,0,kharkiv,50.0151,36.2202,50.0481,36.2101,3.7
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,2,2,-10,31,2,0,2,2,2,2,,,,,,,,
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,2,-2,44,-2,0,-10,-10,1,-2,,0,kyiv,50.4493,30.4482,50.3996,30.6544,15.7
,,1,1,-10,-10,1,-10,-10,-10,-10,2,2,2,26,2,2,2,-10,1,2,,0,kyiv,50.4476,30.4230,50.4465,30.4229,0.1
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,-2,-2,-2,29,-2,0,1,-1,1,1,,0,odesa,46.4659,30.7103,46.4290,30.7493,5.1
,,2,1,2,-10,-10,-10,-10,1,2,2,2,1,29,-2,1,2,1,1,1,,0,kyiv,50.4514,30.5983,50.4309,30.5399,4.7
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,2,1,2,26,2,0,2,1,1,1,,0,odesa,46.4435,30.7511,46.4490,30.7434,0.9
,,-10,-10,-10,-10,-10,-10,-10,-10,-10,-2,-2,2,28,2,0,2,1,2,-2,,0,kharkiv,50.0046,36.2455,50.0323,36.2095,4
,,-10,-10,-10,-10,-10,-10,1,1,1,1,2,-1,24,2,0,2,-2,-1,-1,,0,kyiv,50.4398757,30.4675475,50.4514857,30.5891268,8.7
,,-10,-10,-2,-2,-10,-10,1,-2,-2,-2,-1,-1,39,-2,0,-2,-2,-2,-2,,0,kyiv,50.476532,30.486826,50.469480,30.604003,8.4
,,-2,-2,1,-2,1,-2,-2,-2,-2,2,-1,-2,27,-2,2,2,-2,-2,-2,,,,,,,,
,,-10,-10,-10,-10,-10,-10,1,-10,-10,1,-1,2,30,-2,0,2,2,1,1,,0,kyiv,50.4450,30.5226,50.4284,30.5935,5.4
